Year,Country,Sport,Discipline,Event,GoldCount,SilverCount,BronzeCount
1896,AUS,Athletics,Athletics,1500M,1,0,0
1896,AUS,Athletics,Athletics,800M,1,0,0
1896,AUT,Aquatics,Swimming,100M Freestyle,0,1,0
1896,AUT,Aquatics,Swimming,400M Freestyle,1,0,0
1896,AUT,Cycling,Cycling Track,10KM,0,0,1
1896,AUT,Cycling,Cycling Track,12-Hour Race,1,0,0
1896,AUT,Cycling,Cycling Track,1KM Time Trial,0,0,1
1896,DEN,Fencing,Fencing,Sabre Individual,0,0,1
1896,DEN,Shooting,Shooting,25M Rapid Fire Pistol (60 Shots),0,0,1
1896,DEN,Shooting,Shooting,50M Pistol (60 Shots),0,1,0
1896,DEN,Shooting,Shooting,"Army Rifle, 300M",0,0,1
1896,DEN,Weightlifting,Weightlifting,Heavyweight - One Hand Lift,0,1,0
1896,DEN,Weightlifting,Weightlifting,Heavyweight - Two Hand Lift,1,0,0
1896,FRA,Athletics,Athletics,1500M,0,0,1
1896,FRA,Athletics,Athletics,Triple Jump,0,1,0
1896,FRA,Cycling,Cycling Track,100KM,1,0,0
1896,FRA,Cycling,Cycling Track,10KM,1,1,0
1896,FRA,Cycling,Cycling Track,1KM Time Trial,1,0,0
1896,FRA,Cycling,Cycling Track,Sprint Indivual,1,0,1
1896,FRA,Fencing,Fencing,Foil Individual,1,1,0
1896,FRA,Fencing,Fencing,"Foil, Masters",0,1,0
1896,GBR,Athletics,Athletics,110M Hurdles,0,1,0
1896,GBR,Athletics,Athletics,400M,0,0,1
1896,GBR,Cycling,Cycling Road,Individual Road Race,0,0,1
1896,GBR,Cycling,Cycling Track,12-Hour Race,0,1,0
1896,GBR,Tennis,Tennis,Singles,1,0,0
1896,GBR,Weightlifting,Weightlifting,Heavyweight - One Hand Lift,1,0,0
1896,GBR,Weightlifting,Weightlifting,Heavyweight - Two Hand Lift,0,1,0
1896,GER,Athletics,Athletics,100M,0,1,0
1896,GER,Cycling,Cycling Road,Individual Road Race,0,1,0
1896,GER,Gymnastics,Artistic G.,Horizontal Bar,1,1,0
1896,GER,Gymnastics,Artistic G.,Parallel Bars,1,0,0
1896,GER,Gymnastics,Artistic G.,Pommel Horse,0,1,0
1896,GER,Gymnastics,Artistic G.,Rings,0,1,0
1896,GER,Gymnastics,Artistic G.,Rope Climbing,0,0,1
1896,GER,Gymnastics,Artistic G.,"Team, Horizontal Bar",1,0,0
1896,GER,Gymnastics,Artistic G.,"Team, Parallel Bars",1,0,0
1896,GER,Gymnastics,Artistic G.,Vault,1,0,1
1896,GER,Wrestling,Wrestling Gre-R,Open Event,1,0,0
1896,GRE,Aquatics,Swimming,100M Freestyle For Sailors,1,1,1
1896,GRE,Aquatics,Swimming,1200M Freestyle,0,1,1
1896,GRE,Aquatics,Swimming,400M Freestyle,0,1,1
1896,GRE,Athletics,Athletics,800M,0,0,1
1896,GRE,Athletics,Athletics,Discus Throw,0,1,1
1896,GRE,Athletics,Athletics,Marathon,1,1,0
1896,GRE,Athletics,Athletics,Pole Vault,0,0,1
1896,GRE,Athletics,Athletics,Shot Put,0,1,1
1896,GRE,Athletics,Athletics,Triple Jump,0,0,1
1896,GRE,Cycling,Cycling Road,Individual Road Race,1,0,0
1896,GRE,Cycling,Cycling Track,100KM,0,1,0
1896,GRE,Cycling,Cycling Track,1KM Time Trial,0,1,0
1896,GRE,Cycling,Cycling Track,Sprint Indivual,0,1,0
1896,GRE,Fencing,Fencing,Foil Individual,0,0,1
1896,GRE,Fencing,Fencing,"Foil, Masters",1,0,0
