CountryCode,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
AFG,5023439,5182893,5501801,5820709,5980163,6139617,6458525,6617979,6857160,7096341,7893611,8132792,8371973,8996351,9731361,10604346,11721940,12840299,13248370,12047115,11540888,13981231,17822884,20093756,24118979,27294031,30696958
ALG,7795915,7965871,8305783,8645695,8815651,8985607,9325519,9495475,9750409,10005343,10855123,11110057,11364991,11124888,12295970,13744387,15377093,17190239,19337715,21893853,24591492,27181094,29411415,31183660,32831096,34860715,37565847
ARG,9264363,9664273,10464093,11263913,11663823,12063733,12863553,13263463,13863328,14463193,16462743,17062608,17662473,20619075,21953929,23261278,24782949,26477152,28105888,29920904,31795517,33655151,35419682,37057452,38728696,40382389,42096739
ARM,767397,814075,907431,1000787,1047465,1094143,1187499,1234177,1304194,1374211,1607601,1677618,1747635,1874120,2144998,2401140,2650484,2889579,3099751,3285595,3504651,3442810,3168215,3069588,3000612,2908220,2881922
ANZ,5752675,6009943,6524479,7039015,7296283,7553551,8068087,8325355,8711257,9097159,10383499,10769401,11155303,12648277,13752400,14757100,16080900,17143500,17804900,18771100,19815600,21026700,22043000,23010700,24214900,25509000,27136354
AUS,4788250,4994556,5407168,5819780,6026086,6232392,6645004,6851310,7160769,7470228,8501758,8811217,9120676,10276477,11167000,12009000,13177000,14033000,14692000,15544000,16532200,17495000,18311000,19153000,20127400,21249200,22728254
AUT,2002891,2157533,2466817,2776101,2930743,3085385,3394669,3549311,3781274,4013237,4786447,5018410,5250373,7047539,7223801,7415403,7544201,7565525,7549433,7561434,7585317,7840709,7959017,8011566,8171966,8321496,8429991
AZE,2012150,2096380,2264840,2433300,2517530,2601760,2770220,2854450,2980795,3107140,3528290,3654635,3780980,3895396,4456689,4960235,5385267,5768724,6150738,6557585,7010036,7382000,7763000,8048600,8306500,8763400,9295784
BAH,72515,74263,77759,81255,83003,84751,88247,89995,92617,95239,103979,106601,109223,98418,109528,133698,158627,177839,192902,210661,230015,247579,275895,290060,309157,335830,360832
BRN,166153,167137,169105,171073,172057,173041,175009,175993,177469,178945,183865,185341,186817,162427,182887,200653,229155,283752,359888,407227,465202,523087,578668,664614,829848,1114590,1300217
BAR,67461,72309,82005,91701,96549,101397,111093,115941,123213,130485,154725,161997,169269,230939,234547,237199,241441,247444,252194,255193,258527,262184,265942,269847,273091,277319,281585
BLR,2494902,2677176,3041724,3406272,3588546,3770820,4135368,4317642,4591053,4864464,5775834,6049245,6322656,8198000,8524224,8874552,9188968,9411000,9643000,9910000,10140000,10216000,10160000,9979610,9730146,9527985,9464495
BEL,2562812,2764410,3167606,3570802,3772400,3973998,4377194,4578792,4881189,5183586,6191576,6493973,6796370,9153489,9378113,9618756,9711115,9711115,9859242,9855372,9901664,10045158,10156637,10251250,10421137,10709973,11128246
BER,15458,16530,18674,20818,21890,22962,25106,26178,27786,29394,34754,36362,37970,44400,48900,53000,54200,53200,54670,56423,58347,58595,60129,61833,63740,65273,64798
BOH,2563765,2772695,3190555,3608415,3817345,4026275,4444135,4653065,4966460,5279855,6324505,6637900,6951295,9602006,9727804,9876346,9867632,10125939,10304193,10330213,10355276,10319123,10315241,10255063,10197101,10384603,10510785
BOT,432085,438391,451003,463615,469921,476227,488839,495145,504604,514063,545593,555052,564511,524552,580799,652843,742835,857855,1001158,1151292,1301818,1455833,1604060,1728340,1829330,1946351,2089315
BRA,43821896,45157186,47827766,50498346,51833636,53168926,55839506,57174796,59177731,61180666,67857116,69860051,71862986,72207554,81168654,90557064,100143598,110213082,121159761,132800684,144001542,154564278,164913306,175287587,184738458,192979029,200560983
BWI,1048673,1104261,1215437,1326613,1382201,1437789,1548965,1604553,1687935,1771317,2049257,2132639,2216021,2707670,2868308,2994300,3145010,3328187,3500547,3719835,3856954,3965033,4086299,4194695,4292403,4382813,4464165
BUL,2042543,2223315,2584859,2946403,3127175,3307947,3669491,3850263,4121421,4392579,5296439,5567597,5838755,7867374,8144340,8369603,8576200,8758599,8861535,8960679,8981446,8540164,8362826,8170172,7716860,7492561,7305888
BDI,1600176,1649206,1747266,1845326,1894356,1943386,2041446,2090476,2164021,2237566,2482716,2556261,2629806,2786106,3010859,3316233,3544047,3739659,4116817,4571292,5135956,5661139,6041112,6400706,7182451,8212264,9319710
